title,serial
"Akumajou Dracula - Yami no Juin (Japan) (En,Ja)",SLPM-66668
Akumajou Dracula - Yami no Juin (Japan) (Tentou Taikenban),SLPM-61138
"Alan Hansen's Sports Challenge (Europe) (En,Fr,De,Es,It)",SLES-54958
"Alarm for Cobra 11 - Vol. II (Europe) (En,De)",SLES-52920
"Alarm for Cobra 11 (Europe) (En,De)",SLES-52063
Alarm for Cobra 11 Vol. 2 - Hot Pursuit (Europe),SLES-53360
Alex Ferguson's Player Manager 2001 (Europe),SLES-50429
Alfa Romeo Racing Italiano (USA),SLUS-21321
Alias (Europe) (Demo),SLED-52485
"Alias (Europe) (En,Fr,De,Es)",SLES-51821
Alias (Italy),SLES-51822
Alias (USA),SLUS-20673
"Alien Hominid (Europe, Australia) (En,Fr,De,Es,It,Nl)",SLES-53139
Alien Hominid (USA),SLUS-21090
"Aliens in the Attic (Europe) (En,Fr,De,Es,It)",SLES-55532
Aliens Versus Predator - Extinction (Europe),SLES-51792
Aliens Versus Predator - Extinction (USA),SLUS-20147
All Music Dance! (Italy),SLES-52542
All Star Pro-Wrestling (Japan),SLPS-20022
All Star Pro-Wrestling II (Japan),SLPS-20139
All Star Pro-Wrestling III (Japan),SLPM-65300
All-Star Baseball 2002 (Europe),SLES-50218
All-Star Baseball 2002 (Japan),SLPM-62069
All-Star Baseball 2002 (USA),SLUS-20008
All-Star Baseball 2003 featuring Derek Jeter (Europe),SLES-50447
All-Star Baseball 2003 featuring Derek Jeter (Japan),SLPM-65137
All-Star Baseball 2003 featuring Derek Jeter (USA),SLUS-20311
All-Star Baseball 2003 featuring Derek Jeter (USA) (Demo),SLUS-28007
All-Star Baseball 2004 featuring Derek Jeter (Europe),SLES-51602
All-Star Baseball 2004 featuring Derek Jeter (Korea),SLKA-25057
All-Star Baseball 2004 featuring Derek Jeter (USA),SLUS-20569
All-Star Baseball 2005 featuring Derek Jeter (USA),SLUS-20838
All-Star Fighters (Europe),SLES-54459
"Alone in the Dark - The New Nightmare (Europe) (En,Fr,De,Es,It)",SLES-50185
Alone in the Dark (Europe),SLES-54884
"Alone in the Dark (Europe) (En,Fr,De,Es)",SLES-55207
"Alone in the Dark (Italy) (En,Fr,De,Es,It)",SLES-54883
Alone in the Dark (USA),SLUS-21690
"Alpine Racer 3 (Europe) (En,Fr,De,Es,It)",SCES-50887
Alpine Racer 3 (Japan),SLPS-20181
"Alpine Ski Racing 2007 - Bode Miller vs. Hermann Maier (Europe) (En,De)",SLES-54370
"Alpine Ski Racing 2007 - Bode Miller vs. Hermann Maier (Europe) (Fr,De,It)",SLES-54560
Alpine Skiing 2005 (Europe),SLES-53362
"Alpine Skiing 2005 (Germany) (En,De)",SLES-53041
"Alpine Skiing 2006 featuring Bode Miller (Germany) (En,De)",SLES-53867
Alter Echo (Europe),SLES-51670
"Alter Echo (Europe) (En,Fr,De,Es,It)",SLES-51671
Alter Echo (USA),SLUS-20465
Alter Echo (USA) (Demo),SLUS-29056
"Altered Beast (Europe) (En,Fr,De,Es,It)",SLES-53024
"Alvin and the Chipmunks (Europe) (En,Fr,De,Es,It)",SLES-55052
Alvin and the Chipmunks (USA),SLUS-21706
Amagami (Japan),SLPS-25918
Amagami (Japan) (ebKore Plus),SLPS-25987
Amagami (Japan) (ebKore Plus),SLPS-25989
"Amagoushi no Yakata - Ichiyanagi Nagomu, Saisho no Junan (Japan)",SLPS-25847
Amagoushi no Yakata (Japan),SLPS-25702
America Oudan Ultra Quiz (Japan),SLPS-25106
America Oudan Ultra Quiz (Japan),SLPS-25229
American Arcade (Japan),SLPS-20011
"American Chopper (Europe, Australia)",SLES-53108
American Chopper (USA),SLUS-21069
American Chopper 2 - Full Throttle (Europe),SLES-53779
American Chopper 2 - Full Throttle (USA),SLUS-21288
